Gender,Married,Dependents,Education,Self_Employed,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,overall_Income
Male,No,0,Not Graduate,No,120.0,360,Yes,Rural,N,7333
Male,Yes,2,Graduate,No,216.0,360,No,Urban,N,7400
Male,Yes,3,Not Graduate,No,94.0,480,Yes,Semiurban,Y,2825
Male,No,0,Graduate,No,136.0,360,Yes,Urban,Y,5316
Female,Yes,0,Graduate,No,139.0,360,Yes,Semiurban,Y,5262
Male,No,0,Graduate,No,118.0,360,Yes,Semiurban,Y,5050
Male,Yes,1,Graduate,No,185.0,180,Yes,Rural,Y,14583
Female,Yes,0,Graduate,No,154.0,360,Yes,Semiurban,Y,5450
Male,Yes,0,Graduate,No,175.0,360,Yes,Rural,N,7710
Female,No,0,Graduate,No,259.0,360,Yes,Urban,Y,10408
Female,No,0,Graduate,No,44.0,360,Yes,Semiurban,Y,4166
Female,No,0,Graduate,No,137.0,360,No,Semiurban,Y,11117
Male,Yes,2,Graduate,No,81.0,360,Yes,Semiurban,Y,2957
Male,Yes,0,Not Graduate,No,194.0,360,Yes,Rural,Y,6314
Male,Yes,3,Graduate,No,370.0,360,Yes,Rural,Y,23803
Male,Yes,1,Graduate,Yes,160.0,180,No,Urban,N,14363
Male,No,0,Graduate,No,74.0,360,Yes,Urban,Y,3943
Male,No,0,Graduate,No,70.0,360,Yes,Semiurban,Y,2718
Male,Yes,0,Graduate,Yes,25.0,120,Yes,Semiurban,Y,3459
Male,No,0,Graduate,No,102.0,360,Yes,Semiurban,Y,4895
Male,Yes,3,Graduate,No,290.0,360,Yes,Semiurban,N,11750
Female,Yes,0,Graduate,No,84.0,360,Yes,Rural,N,4583
Male,Yes,2,Graduate,Yes,88.0,360,Yes,Urban,Y,6816
Male,No,0,Graduate,No,242.0,360,No,Semiurban,N,14999
Male,Yes,2,Not Graduate,No,129.0,360,Yes,Rural,N,5630
Male,Yes,2,Graduate,No,185.0,360,Yes,Rural,N,7125
Male,No,0,Graduate,No,168.0,360,Yes,Urban,Y,5417
Male,No,0,Graduate,Yes,175.0,180,Yes,Semiurban,Y,6950
Male,Yes,0,Graduate,No,122.0,360,Yes,Semiurban,Y,4732
Male,Yes,2,Graduate,No,187.0,180,Yes,Urban,Y,11757
Female,Yes,0,Graduate,No,100.0,360,Yes,Semiurban,Y,6816
Female,Yes,2,Graduate,No,70.0,360,Yes,Urban,Y,14866
Male,Yes,1,Graduate,No,30.0,360,Yes,Urban,Y,2963
Female,No,0,Graduate,No,225.0,360,Yes,Rural,N,11666
Male,Yes,0,Graduate,No,125.0,360,Yes,Semiurban,Y,5690
Male,No,0,Graduate,No,118.0,360,No,Rural,N,6277
Male,Yes,0,Graduate,Yes,152.0,360,Yes,Rural,Y,6327
Male,No,0,Graduate,No,244.0,360,Yes,Urban,N,9166
Male,Yes,2,Not Graduate,No,113.0,360,Yes,Rural,N,2281
Male,No,0,Graduate,No,50.0,360,Yes,Urban,Y,3254
Male,Yes,3,Graduate,No,600.0,180,No,Semiurban,Y,39999
Male,Yes,1,Graduate,No,187.0,360,Yes,Urban,Y,9538
Male,No,0,Graduate,No,120.0,360,Yes,Rural,Y,5063
Male,Yes,0,Graduate,No,255.0,360,Yes,Semiurban,Y,10208
Male,Yes,0,Not Graduate,No,98.0,360,Yes,Semiurban,Y,2904
Male,Yes,0,Graduate,No,275.0,360,Yes,Urban,N,7933
Male,Yes,1,Graduate,No,121.0,360,No,Semiurban,N,4369
Male,Yes,2,Graduate,No,158.0,360,Yes,Rural,Y,5614
Male,Yes,0,Graduate,No,75.0,180,Yes,Urban,Y,9323
Female,Yes,0,Graduate,No,112.0,360,Yes,Rural,N,4583
Male,Yes,0,Graduate,No,129.0,360,Yes,Rural,Y,5772
Male,No,0,Graduate,No,63.0,480,No,Semiurban,N,2237
Male,Yes,2,Graduate,No,200.0,360,Yes,Semiurban,Y,8000
Male,Yes,0,Not Graduate,No,95.0,360,Yes,Rural,Y,3589
Male,Yes,3,Graduate,No,700.0,300,Yes,Urban,Y,51763
Male,Yes,3,Not Graduate,No,81.0,180,Yes,Rural,N,3522
Male,Yes,0,Graduate,No,187.0,360,Yes,Semiurban,Y,11333
Male,Yes,0,Not Graduate,Yes,87.0,360,Yes,Semiurban,N,5080
Male,Yes,0,Graduate,No,116.0,360,Yes,Rural,Y,5461
Male,Yes,2,Graduate,No,101.0,360,Yes,Rural,Y,3664
Male,Yes,3,Graduate,No,495.0,360,No,Semiurban,N,16816
Male,Yes,1,Graduate,No,116.0,360,Yes,Semiurban,Y,3750
Male,No,0,Not Graduate,No,102.0,480,No,Urban,N,3784
Male,Yes,1,Graduate,No,180.0,360,No,Urban,N,13650
Male,Yes,0,Graduate,No,73.0,180,Yes,Semiurban,Y,4600
Male,Yes,1,Graduate,No,260.0,360,Yes,Semiurban,N,33846
Female,Yes,0,Graduate,No,108.0,360,Yes,Semiurban,Y,3625
Male,Yes,0,Graduate,Yes,120.0,360,Yes,Semiurban,Y,43897
Male,Yes,1,Graduate,Yes,66.0,300,No,Rural,N,2178
Male,Yes,0,Graduate,Yes,168.0,360,Yes,Rural,Y,5970
Male,Yes,0,Graduate,No,188.0,180,Yes,Rural,Y,9328
Male,No,0,Not Graduate,No,48.0,360,Yes,Rural,Y,4885
Male,No,0,Graduate,No,164.0,360,Yes,Semiurban,N,12000
Male,Yes,0,Not Graduate,No,160.0,360,Yes,Urban,N,6033
Male,No,0,Graduate,No,76.0,360,Yes,Semiurban,Y,3858
Male,No,0,Graduate,No,120.0,360,Yes,Rural,Y,4191
Male,Yes,1,Graduate,No,170.0,360,Yes,Semiurban,N,5708
Male,No,0,Graduate,No,187.0,360,Yes,Rural,Y,12083
Male,No,0,Graduate,Yes,83.0,360,Yes,Urban,N,11000
Male,Yes,1,Not Graduate,No,90.0,360,Yes,Semiurban,Y,5100
Male,No,2,Graduate,No,166.0,360,No,Semiurban,Y,4923
Male,Yes,1,Not Graduate,No,135.0,360,Yes,Urban,Y,4583
Male,Yes,2,Not Graduate,No,124.0,360,Yes,Semiurban,Y,3917
Female,No,0,Not Graduate,No,120.0,360,Yes,Semiurban,Y,4408
Female,No,0,Graduate,No,80.0,360,Yes,Urban,Y,3244
Male,No,0,Not Graduate,No,55.0,360,Yes,Rural,Y,6506
Male,No,0,Graduate,No,59.0,360,Yes,Urban,Y,2479
Male,No,0,Graduate,No,127.0,360,Yes,Semiurban,N,3418
Female,No,0,Graduate,No,214.0,360,Yes,Semiurban,N,10000
Male,Yes,3,Graduate,No,128.0,360,No,Semiurban,N,4680
Male,Yes,1,Graduate,Yes,240.0,360,Yes,Urban,Y,7787
Male,Yes,3,Not Graduate,Yes,130.0,360,Yes,Rural,Y,5703
Male,Yes,0,Graduate,No,137.0,360,Yes,Urban,Y,6194
Male,Yes,3,Not Graduate,No,100.0,360,Yes,Semiurban,Y,4833
Male,Yes,0,Graduate,No,135.0,360,Yes,Rural,N,1950
Male,Yes,0,Graduate,No,131.0,360,Yes,Semiurban,Y,5502
Male,Yes,2,Graduate,No,72.0,360,No,Semiurban,N,5000
Male,Yes,0,Graduate,No,60.0,360,No,Urban,N,2221
Male,Yes,2,Graduate,No,116.0,360,Yes,Semiurban,Y,5726
Male,No,0,Graduate,No,144.0,360,Yes,Semiurban,Y,5762
Male,Yes,0,Graduate,No,128.0,360,Yes,Semiurban,Y,6250
Male,Yes,0,Graduate,No,170.0,360,Yes,Rural,N,3250
Male,Yes,2,Graduate,No,210.0,360,Yes,Semiurban,Y,7945
Male,No,0,Graduate,Yes,200.0,360,Yes,Rural,Y,6400
Male,Yes,1,Graduate,No,104.0,360,Yes,Semiurban,Y,4545
Male,Yes,0,Graduate,No,42.0,180,Yes,Rural,Y,3716
Female,No,0,Graduate,No,280.0,360,Yes,Semiurban,Y,8333
Male,Yes,1,Graduate,No,140.0,360,Yes,Semiurban,Y,4934
Male,Yes,1,Graduate,No,170.0,360,Yes,Rural,Y,6760
Female,No,1,Graduate,No,112.0,360,Yes,Rural,Y,3812
Male,Yes,1,Graduate,No,96.0,360,Yes,Semiurban,Y,3315
Male,Yes,2,Graduate,No,120.0,360,Yes,Rural,Y,10819
Male,Yes,1,Not Graduate,No,140.0,180,Yes,Urban,N,4493
Male,No,0,Graduate,No,155.0,60,Yes,Urban,Y,8666
Male,Yes,2,Graduate,Yes,108.0,360,Yes,Rural,Y,7550
Male,Yes,0,Not Graduate,No,123.0,360,Yes,Semiurban,Y,7823
Male,No,0,Graduate,Yes,120.0,180,Yes,Urban,N,10383
Male,Yes,2,Graduate,No,112.0,360,Yes,Urban,Y,9703
Male,Yes,1,Not Graduate,No,137.0,180,Yes,Urban,Y,6608
Male,Yes,1,Graduate,No,123.0,480,Yes,Semiurban,Y,4725
Male,Yes,0,Graduate,No,90.0,360,Yes,Urban,Y,3677
Male,Yes,0,Not Graduate,No,201.0,360,No,Semiurban,N,5558
Female,No,2,Graduate,No,138.0,360,Yes,Urban,N,3427
Male,No,0,Not Graduate,Yes,104.0,360,Yes,Rural,Y,4750
Male,Yes,1,Not Graduate,No,279.0,180,Yes,Semiurban,Y,9762
Male,No,0,Graduate,Yes,192.0,360,No,Urban,N,16250
Female,No,3,Graduate,No,255.0,360,Yes,Rural,Y,3083
Male,No,0,Not Graduate,No,115.0,360,No,Rural,N,6045
Male,Yes,3,Graduate,No,94.0,360,Yes,Urban,N,5250
Male,Yes,0,Graduate,No,304.0,360,Yes,Rural,N,16783
Male,No,0,Graduate,No,134.0,360,Yes,Semiurban,Y,4269
Female,No,1,Graduate,No,155.0,36,Yes,Semiurban,N,3481
Female,No,0,Graduate,No,120.0,360,Yes,Rural,Y,7200
Male,No,0,Graduate,Yes,128.0,360,Yes,Semiurban,Y,5166
Male,No,0,Graduate,No,151.0,360,Yes,Rural,Y,7542
Male,Yes,2,Graduate,No,150.0,360,Yes,Semiurban,Y,6095
Male,Yes,3,Graduate,No,160.0,360,No,Urban,Y,6144
Female,No,0,Graduate,No,135.0,360,Yes,Rural,N,3418
Female,No,1,Graduate,No,90.0,360,Yes,Urban,Y,4436
Female,No,0,Graduate,No,30.0,360,Yes,Urban,Y,3237
Male,Yes,0,Graduate,No,136.0,360,Yes,Urban,Y,11146
Male,No,0,Graduate,No,126.0,360,Yes,Rural,Y,4690
Male,Yes,0,Graduate,No,150.0,360,Yes,Semiurban,Y,4843
Male,Yes,2,Graduate,No,90.0,360,Yes,Semiurban,Y,3900
Male,Yes,1,Graduate,No,115.0,360,Yes,Semiurban,Y,4592
Male,Yes,0,Graduate,No,207.0,360,Yes,Semiurban,Y,7267
Male,Yes,0,Graduate,No,80.0,360,Yes,Urban,Y,4403
Male,Yes,0,Graduate,No,436.0,360,Yes,Semiurban,Y,14583
Male,No,1,Not Graduate,Yes,158.0,360,No,Urban,N,6479
Male,Yes,0,Graduate,No,112.0,360,Yes,Semiurban,Y,4727
Male,Yes,2,Graduate,No,78.0,180,Yes,Urban,Y,3286
Female,No,0,Graduate,No,54.0,360,Yes,Urban,Y,3477
Male,No,0,Graduate,No,89.0,360,Yes,Rural,Y,6211
Female,No,0,Graduate,Yes,99.0,300,Yes,Semiurban,N,4317
Male,Yes,0,Graduate,No,120.0,360,Yes,Rural,Y,5704
Female,No,0,Graduate,No,115.0,360,Yes,Semiurban,Y,4124
Male,No,0,Graduate,No,187.0,360,Yes,Rural,Y,9508
Male,Yes,0,Graduate,No,139.0,360,Yes,Rural,Y,5491
Male,Yes,2,Graduate,No,127.0,360,No,Semiurban,N,4400
Male,Yes,2,Graduate,No,134.0,360,Yes,Urban,Y,4713
Male,Yes,0,Graduate,No,172.0,360,Yes,Semiurban,Y,5717
Male,Yes,3,Graduate,No,110.0,360,Yes,Urban,Y,5666
Male,Yes,1,Graduate,No,200.0,360,Yes,Semiurban,Y,6875
Female,Yes,1,Graduate,No,135.0,360,Yes,Urban,Y,4666
Female,No,0,Graduate,No,151.0,480,Yes,Rural,N,7541
Male,Yes,1,Graduate,No,113.0,360,Yes,Urban,N,4939
Male,Yes,0,Not Graduate,No,93.0,360,No,Urban,N,4734
Female,No,0,Graduate,No,132.0,360,Yes,Rural,Y,5000
Male,Yes,1,Graduate,No,96.0,360,Yes,Urban,Y,3428
Male,No,0,Graduate,No,140.0,360,Yes,Rural,Y,6500
Female,No,0,Graduate,No,135.0,360,Yes,Rural,Y,5428
Female,No,0,Graduate,No,104.0,360,No,Urban,N,4263
Male,No,0,Graduate,No,480.0,360,Yes,Rural,N,20233
Female,No,0,Graduate,No,84.0,360,Yes,Semiurban,Y,2917
Male,No,0,Not Graduate,No,111.0,360,Yes,Semiurban,Y,5332
Female,No,0,Graduate,No,56.0,360,Yes,Rural,Y,2507
Male,Yes,0,Graduate,No,159.0,360,Yes,Rural,N,4316
Male,Yes,1,Not Graduate,No,111.0,180,Yes,Urban,Y,5039
Male,Yes,2,Graduate,No,120.0,360,Yes,Semiurban,Y,3717
Male,Yes,1,Graduate,Yes,155.0,360,Yes,Rural,N,10000
Male,Yes,0,Graduate,No,115.0,360,Yes,Semiurban,Y,4567
Male,Yes,3,Graduate,No,124.0,360,Yes,Semiurban,Y,4531
Male,Yes,3,Graduate,No,300.0,360,Yes,Rural,Y,15000
Male,Yes,1,Graduate,Yes,376.0,360,No,Rural,N,13649
Male,No,0,Graduate,No,130.0,360,No,Rural,Y,4917
Male,Yes,0,Graduate,Yes,184.0,360,Yes,Semiurban,Y,7978
Female,Yes,0,Graduate,No,110.0,360,Yes,Urban,N,6784
Female,No,0,Graduate,No,67.0,360,Yes,Urban,Y,2500
Male,No,1,Graduate,No,117.0,360,Yes,Urban,Y,6177
Male,No,0,Graduate,No,98.0,360,Yes,Semiurban,Y,2935
Male,Yes,0,Graduate,No,490.0,180,Yes,Urban,Y,63337
Male,Yes,1,Graduate,Yes,182.0,180,Yes,Urban,Y,11666
Male,Yes,1,Graduate,No,160.0,360,Yes,Rural,Y,5938
Male,Yes,2,Graduate,Yes,176.0,360,Yes,Rural,Y,7100
Female,No,0,Graduate,No,71.0,360,Yes,Semiurban,Y,4160
Male,Yes,3,Not Graduate,No,173.0,360,Yes,Rural,N,4234
Female,No,0,Graduate,No,46.0,360,Yes,Rural,N,2378
Male,Yes,1,Not Graduate,No,158.0,360,Yes,Urban,Y,5783
Male,Yes,3,Not Graduate,No,74.0,360,Yes,Semiurban,Y,3173
Male,Yes,2,Graduate,No,125.0,360,Yes,Rural,Y,4913
Male,Yes,0,Graduate,No,160.0,360,Yes,Semiurban,Y,4957
Male,Yes,2,Not Graduate,No,126.0,360,Yes,Urban,Y,5251
Male,Yes,0,Graduate,No,187.0,360,Yes,Rural,Y,8875
Male,Yes,0,Graduate,No,228.0,360,Yes,Semiurban,Y,9083
Male,No,0,Graduate,No,308.0,360,Yes,Rural,N,12917
Male,Yes,3,Graduate,No,95.0,360,Yes,Rural,Y,4749
Female,Yes,0,Graduate,Yes,105.0,360,No,Rural,N,5500
Female,Yes,0,Graduate,No,130.0,360,Yes,Semiurban,Y,2928
Male,Yes,2,Graduate,No,165.0,360,Yes,Rural,Y,11500
Male,Yes,1,Graduate,No,67.0,360,Yes,Urban,N,3875
Male,Yes,0,Not Graduate,No,100.0,480,No,Urban,N,4666
Male,Yes,3,Graduate,No,200.0,360,Yes,Semiurban,Y,8334
Female,No,1,Graduate,No,81.0,360,Yes,Semiurban,N,4723
Male,Yes,2,Graduate,No,236.0,360,Yes,Semiurban,Y,8667
Male,Yes,0,Graduate,No,130.0,360,Yes,Urban,Y,7083
Male,No,0,Graduate,Yes,141.0,360,Yes,Rural,Y,6822
Male,No,0,Not Graduate,No,133.0,360,Yes,Rural,N,6216
Male,No,0,Graduate,No,96.0,480,Yes,Semiurban,N,2500
Male,Yes,1,Graduate,No,175.0,360,Yes,Semiurban,Y,6325
Male,Yes,0,Graduate,No,570.0,360,Yes,Rural,N,24996
Female,No,0,Graduate,Yes,55.0,360,Yes,Semiurban,Y,15759
Male,Yes,2,Graduate,No,155.0,360,Yes,Semiurban,Y,5185
Male,Yes,2,Graduate,Yes,380.0,300,Yes,Rural,Y,17196
Male,No,1,Graduate,No,111.0,180,No,Urban,N,5049
Female,No,0,Graduate,No,110.0,360,Yes,Urban,Y,4223
Male,Yes,0,Graduate,No,120.0,180,Yes,Urban,Y,5740
Male,Yes,3,Graduate,No,130.0,360,Yes,Rural,Y,13746
Male,No,0,Graduate,No,71.0,480,Yes,Urban,N,3069
Male,Yes,2,Graduate,No,130.0,360,Yes,Urban,Y,5391
Male,Yes,0,Graduate,No,128.0,360,Yes,Semiurban,Y,5833
Male,No,0,Graduate,No,296.0,360,Yes,Semiurban,Y,10173
Female,No,0,Graduate,No,156.0,360,Yes,Urban,Y,6000
Male,No,0,Graduate,Yes,128.0,360,Yes,Urban,Y,7167
Male,Yes,2,Graduate,No,100.0,360,Yes,Urban,N,4566
Male,No,1,Graduate,No,113.0,180,Yes,Urban,Y,3667
Male,No,0,Not Graduate,No,132.0,360,Yes,Semiurban,Y,3946
Male,Yes,0,Graduate,No,136.0,360,Yes,Urban,Y,4750
Male,Yes,0,Graduate,No,125.0,360,Yes,Rural,Y,5488
Male,No,3,Graduate,No,185.0,360,Yes,Rural,Y,9167
Male,Yes,3,Graduate,No,275.0,360,Yes,Rural,Y,9504
Male,Yes,2,Not Graduate,No,113.0,180,Yes,Semiurban,Y,3618
Male,Yes,2,Graduate,No,113.0,360,Yes,Urban,Y,4500
Female,No,0,Graduate,No,71.0,360,No,Urban,N,3180
Male,Yes,0,Graduate,No,95.0,360,Yes,Urban,Y,4492
Male,No,0,Not Graduate,No,109.0,360,Yes,Rural,Y,5568
Female,No,0,Graduate,No,103.0,360,No,Semiurban,N,3300
Male,Yes,2,Not Graduate,No,45.0,180,No,Urban,N,2889
Male,No,0,Not Graduate,No,65.0,300,Yes,Rural,N,2755
Male,No,0,Graduate,No,103.0,360,Yes,Semiurban,Y,22500
Female,No,0,Not Graduate,No,53.0,360,Yes,Semiurban,Y,1963
Female,No,0,Graduate,Yes,194.0,360,Yes,Rural,N,7441
Female,No,0,Graduate,No,115.0,360,Yes,Semiurban,Y,4547
Male,Yes,0,Not Graduate,No,115.0,360,Yes,Urban,Y,4567
Female,No,0,Not Graduate,No,66.0,360,Yes,Rural,Y,2213
Male,Yes,1,Graduate,No,152.0,300,No,Semiurban,N,8300
Male,Yes,3,Graduate,No,360.0,360,No,Rural,N,81000
Female,No,1,Not Graduate,Yes,62.0,360,Yes,Semiurban,N,3867
Male,Yes,0,Not Graduate,No,218.0,360,No,Rural,N,6096
Male,Yes,0,Not Graduate,No,110.0,360,Yes,Rural,Y,4286
Female,Yes,0,Not Graduate,No,178.0,360,No,Semiurban,N,5386
Female,No,0,Graduate,No,60.0,360,Yes,Urban,Y,2995
Female,No,1,Graduate,No,160.0,360,Yes,Urban,N,2600
Male,Yes,2,Graduate,Yes,239.0,360,Yes,Urban,N,21600
Male,Yes,0,Graduate,No,112.0,360,Yes,Rural,Y,3798
Male,Yes,0,Graduate,No,138.0,360,Yes,Semiurban,Y,4663
Male,Yes,0,Graduate,No,138.0,360,Yes,Rural,Y,5829
Male,Yes,0,Graduate,No,100.0,360,Yes,Urban,Y,3539
Male,Yes,0,Graduate,No,96.0,360,Yes,Semiurban,Y,14880
Male,Yes,0,Graduate,No,121.0,360,Yes,Rural,Y,6966
Female,No,1,Not Graduate,No,81.0,360,Yes,Rural,N,4606
Male,Yes,2,Graduate,No,133.0,360,Yes,Semiurban,Y,5935
Male,Yes,0,Graduate,No,87.0,360,Yes,Rural,Y,2936
Male,No,0,Not Graduate,No,60.0,180,Yes,Urban,Y,2717
Female,No,1,Graduate,Yes,150.0,360,Yes,Semiurban,Y,8624
Male,No,0,Graduate,No,105.0,360,No,Rural,N,6500
Male,No,0,Graduate,No,405.0,360,Yes,Semiurban,Y,12876
Male,Yes,0,Graduate,No,143.0,360,Yes,Semiurban,Y,4765
Male,No,0,Graduate,No,100.0,360,Yes,Urban,Y,3750
Male,No,0,Graduate,No,50.0,360,Yes,Semiurban,Y,3777
Male,No,0,Graduate,Yes,187.0,360,No,Urban,N,10416
Female,Yes,0,Not Graduate,Yes,138.0,360,Yes,Rural,Y,7142
Male,No,0,Graduate,No,187.0,360,Yes,Semiurban,Y,8724
Male,Yes,0,Graduate,No,180.0,360,Yes,Rural,Y,9734
Male,No,3,Not Graduate,No,148.0,360,Yes,Semiurban,Y,6700
Male,No,1,Graduate,No,152.0,360,Yes,Semiurban,Y,37719
Male,Yes,1,Graduate,Yes,130.0,360,Yes,Rural,Y,4676
Male,Yes,2,Not Graduate,No,110.0,360,Yes,Rural,Y,4652
Male,Yes,0,Graduate,No,55.0,360,Yes,Rural,N,4915
Male,Yes,2,Graduate,No,150.0,360,No,Rural,N,5050
Male,Yes,2,Not Graduate,No,125.0,360,No,Rural,N,3564
Male,Yes,0,Graduate,No,149.0,360,No,Rural,N,5681
Male,Yes,0,Graduate,No,90.0,180,No,Rural,Y,4949
Male,No,0,Graduate,Yes,84.0,360,Yes,Semiurban,Y,7085
Male,Yes,2,Graduate,No,96.0,360,Yes,Semiurban,Y,3859
Male,Yes,0,Graduate,No,118.0,360,Yes,Urban,Y,4301
Male,Yes,0,Graduate,No,173.0,360,Yes,Urban,N,6277
Male,No,2,Graduate,No,136.0,360,Yes,Rural,Y,4354
